Nivel,Probabilidad
90,4.7582069553566e-07
91,2.85492417321396e-07
92,9.5164139107132e-08
93,4.7582069553566e-07
94,1.90328278214264e-07
95,6.66148973749924e-07
96,3.80656556428528e-07
97,0
98,9.5164139107132e-08
99,2.85492417321396e-07
100,3.80656556428528e-07
101,1.90328278214264e-07
102,1.90328278214264e-07
103,0
104,1.90328278214264e-07
105,2.85492417321396e-07
106,1.90328278214264e-07
107,3.80656556428528e-07
108,0
109,9.5164139107132e-08
110,1.90328278214264e-07
111,1.90328278214264e-07
112,9.5164139107132e-08
113,9.5164139107132e-08
114,0
115,3.80656556428528e-07
116,2.85492417321396e-07
117,0
118,0
119,2.85492417321396e-07
120,6.66148973749924e-07
121,9.5164139107132e-08
122,9.5164139107132e-08
123,0
124,2.85492417321396e-07
125,1.90328278214264e-07
126,2.85492417321396e-07
127,1.90328278214264e-07
128,2.85492417321396e-07
129,1.90328278214264e-07
130,9.5164139107132e-08
131,9.5164139107132e-08
132,9.5164139107132e-08
133,2.85492417321396e-07
134,0
135,1.90328278214264e-07
136,9.5164139107132e-08
137,1.90328278214264e-07
138,9.5164139107132e-08
139,0
140,4.7582069553566e-07
141,9.5164139107132e-08
142,9.5164139107132e-08
143,3.80656556428528e-07
144,2.85492417321396e-07
145,2.85492417321396e-07
146,3.80656556428528e-07
147,2.85492417321396e-07
148,1.90328278214264e-07
149,0
150,1.90328278214264e-07
151,0
152,9.5164139107132e-08
153,1.90328278214264e-07
154,0
155,1.90328278214264e-07
156,1.90328278214264e-07
157,0
158,1.90328278214264e-07
159,0
160,2.85492417321396e-07
161,1.90328278214264e-07
162,1.90328278214264e-07
163,0
164,9.5164139107132e-08
165,5.70984834642792e-07
166,9.5164139107132e-08
167,9.5164139107132e-08
168,3.80656556428528e-07
169,4.7582069553566e-07
170,5.70984834642792e-07
171,4.7582069553566e-07
172,2.85492417321396e-07
173,2.85492417321396e-07
174,0
175,9.5164139107132e-08
176,2.85492417321396e-07
177,2.85492417321396e-07
178,9.5164139107132e-08
179,2.85492417321396e-07
180,1.90328278214264e-07
181,2.85492417321396e-07
182,9.5164139107132e-08
183,1.90328278214264e-07
184,0
185,0
186,0
187,9.5164139107132e-08
188,2.85492417321396e-07
189,1.90328278214264e-07
190,1.90328278214264e-07
191,1.90328278214264e-07
192,9.5164139107132e-08
193,2.85492417321396e-07
194,2.85492417321396e-07
195,1.90328278214264e-07
196,2.85492417321396e-07
197,1.90328278214264e-07
198,1.90328278214264e-07
199,9.5164139107132e-08
200,1.90328278214264e-07
201,1.90328278214264e-07
202,9.5164139107132e-08
203,1.90328278214264e-07
204,0
205,2.85492417321396e-07
206,9.5164139107132e-08
207,1.90328278214264e-07
208,0
209,9.5164139107132e-08
210,2.85492417321396e-07
211,3.80656556428528e-07
212,9.5164139107132e-08
213,9.5164139107132e-08
214,2.85492417321396e-07
215,1.90328278214264e-07
216,1.90328278214264e-07
217,9.5164139107132e-08
218,0
219,9.5164139107132e-08
220,9.5164139107132e-08
221,3.80656556428528e-07
222,1.90328278214264e-07
223,3.80656556428528e-07
224,1.90328278214264e-07
