Nivel,Probabilidad
136,1.59357470678225e-07
137,1.59357470678225e-07
138,2.39036206017338e-07
139,2.39036206017338e-07
140,7.96787353391127e-08
141,1.59357470678225e-07
142,1.59357470678225e-07
143,7.96787353391127e-08
144,1.59357470678225e-07
145,7.96787353391127e-08
146,1.59357470678225e-07
147,7.96787353391127e-08
148,7.96787353391127e-08
149,0
150,3.18714941356451e-07
151,7.96787353391127e-08
152,0
153,2.39036206017338e-07
154,7.96787353391127e-08
155,7.96787353391127e-08
156,7.96787353391127e-08
157,0
158,1.59357470678225e-07
159,7.96787353391127e-08
160,0
161,0
162,1.59357470678225e-07
163,1.59357470678225e-07
164,2.39036206017338e-07
165,1.59357470678225e-07
166,0
167,0
168,7.96787353391127e-08
169,0
170,2.39036206017338e-07
171,7.96787353391127e-08
172,2.39036206017338e-07
173,0
174,7.96787353391127e-08
175,7.96787353391127e-08
176,1.59357470678225e-07
177,5.57751147373789e-07
178,7.96787353391127e-08
179,7.96787353391127e-08
180,7.96787353391127e-08
181,2.39036206017338e-07
182,0
183,7.96787353391127e-08
184,7.96787353391127e-08
185,0
186,3.18714941356451e-07
187,2.39036206017338e-07
188,2.39036206017338e-07
189,1.59357470678225e-07
190,1.59357470678225e-07
191,7.96787353391127e-08
192,0
193,0
194,7.96787353391127e-08
195,7.96787353391127e-08
196,7.96787353391127e-08
197,0
198,7.96787353391127e-08
199,3.18714941356451e-07
200,0
201,1.59357470678225e-07
202,2.39036206017338e-07
203,2.39036206017338e-07
204,0
205,7.96787353391127e-08
206,7.96787353391127e-08
207,0
208,1.59357470678225e-07
209,7.96787353391127e-08
210,1.59357470678225e-07
211,1.59357470678225e-07
212,2.39036206017338e-07
213,1.59357470678225e-07
214,0
215,2.39036206017338e-07
216,2.39036206017338e-07
217,7.96787353391127e-08
218,1.59357470678225e-07
219,1.59357470678225e-07
220,7.96787353391127e-08
221,7.96787353391127e-08
222,1.59357470678225e-07
223,0
224,7.96787353391127e-08
225,0
226,2.39036206017338e-07
227,1.59357470678225e-07
228,2.39036206017338e-07
229,0
230,4.78072412034676e-07
231,1.59357470678225e-07
232,1.59357470678225e-07
233,1.59357470678225e-07
234,1.59357470678225e-07
235,2.39036206017338e-07
236,7.96787353391127e-08
237,0
238,1.59357470678225e-07
239,4.78072412034676e-07
240,7.96787353391127e-08
241,7.96787353391127e-08
242,0
243,1.59357470678225e-07
244,7.96787353391127e-08
245,7.96787353391127e-08
246,0
247,1.59357470678225e-07
248,0
249,2.39036206017338e-07
250,7.96787353391127e-08
251,2.39036206017338e-07
252,1.59357470678225e-07
253,7.96787353391127e-08
254,1.59357470678225e-07
255,3.18714941356451e-07
256,7.96787353391127e-08
257,7.96787353391127e-08
258,2.39036206017338e-07
259,2.39036206017338e-07
260,0
261,7.96787353391127e-08
262,3.18714941356451e-07
263,7.96787353391127e-08
264,1.59357470678225e-07
265,2.39036206017338e-07
266,1.59357470678225e-07
267,7.96787353391127e-08
268,3.98393676695564e-07
269,7.96787353391127e-08
270,0
271,7.96787353391127e-08
272,7.96787353391127e-08
273,3.18714941356451e-07
274,3.18714941356451e-07
275,1.59357470678225e-07
276,0
277,1.59357470678225e-07
278,2.39036206017338e-07
279,1.59357470678225e-07
280,1.59357470678225e-07
281,7.96787353391127e-08
282,1.59357470678225e-07
283,0
284,2.39036206017338e-07
285,7.96787353391127e-08
286,2.39036206017338e-07
287,0
288,7.96787353391127e-08
289,2.39036206017338e-07
290,0
291,0
292,0
293,1.59357470678225e-07
294,7.96787353391127e-08
295,7.96787353391127e-08
296,7.96787353391127e-08
297,7.96787353391127e-08
298,7.96787353391127e-08
299,1.59357470678225e-07
300,1.59357470678225e-07
301,1.59357470678225e-07
302,7.96787353391127e-08
303,1.59357470678225e-07
304,0
305,3.98393676695564e-07
306,1.59357470678225e-07
307,0
308,1.59357470678225e-07
309,1.59357470678225e-07
310,7.96787353391127e-08
311,7.96787353391127e-08
312,7.96787353391127e-08
313,1.59357470678225e-07
314,7.96787353391127e-08
315,7.96787353391127e-08
316,2.39036206017338e-07
317,3.98393676695564e-07
318,3.18714941356451e-07
319,2.39036206017338e-07
320,1.59357470678225e-07
321,7.96787353391127e-08
322,1.59357470678225e-07
323,3.18714941356451e-07
324,0
325,1.59357470678225e-07
326,7.96787353391127e-08
327,0
328,1.59357470678225e-07
329,2.39036206017338e-07
330,7.96787353391127e-08
331,3.18714941356451e-07
332,0
333,2.39036206017338e-07
334,7.96787353391127e-08
335,7.96787353391127e-08
336,1.59357470678225e-07
337,3.18714941356451e-07
338,7.96787353391127e-08
339,1.59357470678225e-07
340,0
341,0
342,2.39036206017338e-07
343,7.96787353391127e-08
344,1.59357470678225e-07
345,2.39036206017338e-07
346,0
347,3.18714941356451e-07
348,7.96787353391127e-08
349,3.18714941356451e-07
350,2.39036206017338e-07
351,7.96787353391127e-08
352,7.96787353391127e-08
353,7.96787353391127e-08
354,7.96787353391127e-08
355,1.59357470678225e-07
356,1.59357470678225e-07
357,2.39036206017338e-07
358,7.96787353391127e-08
359,7.96787353391127e-08
360,7.96787353391127e-08
361,2.39036206017338e-07
362,7.96787353391127e-08
363,4.78072412034676e-07
364,2.39036206017338e-07
365,0
366,4.78072412034676e-07
367,3.18714941356451e-07
368,7.96787353391127e-08
369,1.59357470678225e-07
370,3.18714941356451e-07
371,1.59357470678225e-07
372,7.96787353391127e-08
373,7.96787353391127e-08
374,7.96787353391127e-08
375,0
376,7.96787353391127e-08
377,3.18714941356451e-07
378,7.96787353391127e-08
379,0
380,7.96787353391127e-08
381,1.59357470678225e-07
382,3.18714941356451e-07
383,2.39036206017338e-07
384,2.39036206017338e-07
385,1.59357470678225e-07
386,7.96787353391127e-08
387,7.96787353391127e-08
388,7.96787353391127e-08
389,7.96787353391127e-08
390,7.96787353391127e-08
391,1.59357470678225e-07
392,0
393,7.96787353391127e-08
394,2.39036206017338e-07
395,2.39036206017338e-07
396,7.96787353391127e-08
397,0
398,7.96787353391127e-08
399,7.96787353391127e-08
400,1.59357470678225e-07
401,1.59357470678225e-07
402,0
403,0
404,2.39036206017338e-07
405,7.96787353391127e-08
406,7.96787353391127e-08
407,2.39036206017338e-07
408,7.96787353391127e-08
409,3.18714941356451e-07
410,2.39036206017338e-07
411,7.96787353391127e-08
412,1.59357470678225e-07
413,3.98393676695564e-07
414,7.96787353391127e-08
415,0
416,1.59357470678225e-07
417,2.39036206017338e-07
418,2.39036206017338e-07
419,1.59357470678225e-07
420,0
421,3.18714941356451e-07
422,2.39036206017338e-07
423,1.59357470678225e-07
424,7.96787353391127e-08
425,1.59357470678225e-07
426,1.59357470678225e-07
427,7.96787353391127e-08
428,2.39036206017338e-07
429,2.39036206017338e-07
430,7.96787353391127e-08
431,7.96787353391127e-08
432,4.78072412034676e-07
433,7.96787353391127e-08
434,2.39036206017338e-07
435,3.98393676695564e-07
436,3.18714941356451e-07
437,1.59357470678225e-07
438,0
439,7.96787353391127e-08
440,2.39036206017338e-07
441,1.59357470678225e-07
442,1.59357470678225e-07
443,3.18714941356451e-07
444,1.59357470678225e-07
445,0
446,7.96787353391127e-08
447,3.98393676695564e-07
448,7.96787353391127e-08
449,7.96787353391127e-08
450,2.39036206017338e-07
451,2.39036206017338e-07
452,7.96787353391127e-08
453,7.96787353391127e-08
454,0
455,0
456,7.96787353391127e-08
457,2.39036206017338e-07
458,5.57751147373789e-07
459,3.98393676695564e-07
460,7.96787353391127e-08
461,7.96787353391127e-08
462,2.39036206017338e-07
463,0
464,3.18714941356451e-07
